From,To,Cost
0,0,0.0
0,1,0.5176380902050415
0,2,0.9999999999999999
0,3,1.414213562373095
0,4,1.7320508075688772
0,5,1.9318516525781368
0,6,3.0
0,7,3.044330664108471
0,8,3.1622776601683795
0,9,3.3166247903554
0,10,3.4641016151377544
0,11,3.5681999394048645
0,12,6.0
0,13,6.022287704222634
0,14,6.082762530298219
0,15,6.164414002968976
0,16,6.244997998398398
0,17,6.303336482179011
0,18,3.0
0,19,3.044330664108471
0,20,3.1622776601683795
0,21,3.3166247903554
0,22,3.4641016151377544
0,23,3.5681999394048645
0,24,4.242640687119285
0,25,4.274102150444128
0,26,4.358898943540674
0,27,4.47213595499958
0,28,4.58257569495584
0,29,4.661764773942254
0,30,6.708203932499369
0,31,6.728146044225788
0,32,6.782329983125268
0,33,6.855654600401044
0,34,6.928203230275509
0,35,6.9808345351805094
0,36,6.0
0,37,6.022287704222634
0,38,6.082762530298219
0,39,6.164414002968976
0,40,6.244997998398398
0,41,6.303336482179011
0,42,6.708203932499369
0,43,6.728146044225788
0,44,6.782329983125268
0,45,6.855654600401044
0,46,6.928203230275509
0,47,6.9808345351805094
0,48,8.48528137423857
0,49,8.501055769281315
0,50,8.54400374531753
0,51,8.602325267042627
0,52,8.660254037844387
0,53,8.70241637751084
0,54,3.0
0,55,3.044330664108471
0,56,3.1622776601683795
0,57,3.3166247903554
0,58,3.4641016151377544
0,59,3.5681999394048645
0,60,4.242640687119285
0,61,4.274102150444128
0,62,4.358898943540674
0,63,4.47213595499958
0,64,4.58257569495584
0,65,4.661764773942254
0,66,6.708203932499369
0,67,6.728146044225788
0,68,6.782329983125268
0,69,6.855654600401044
0,70,6.928203230275509
0,71,6.9808345351805094
0,72,4.242640687119285
0,73,4.274102150444128
0,74,4.358898943540674
0,75,4.47213595499958
0,76,4.58257569495584
0,77,4.661764773942254
0,78,5.196152422706632
0,79,5.221872192272722
0,80,5.291502622129181
0,81,5.385164807134504
0,82,5.477225575051661
0,83,5.543649592783519
0,84,7.3484692283495345
0,85,7.366678301136213
0,86,7.416198487095663
0,87,7.483314773547883
0,88,7.54983443527075
0,89,7.598161014848848
0,90,6.708203932499369
0,91,6.728146044225788
0,92,6.782329983125268
0,93,6.855654600401044
0,94,6.928203230275509
0,95,6.9808345351805094
0,96,7.3484692283495345
0,97,7.366678301136213
0,98,7.416198487095663
0,99,7.483314773547883
0,100,7.54983443527075
0,101,7.598161014848848
0,102,9.0
0,103,9.014873775734806
0,104,9.055385138137417
0,105,9.1104335791443
0,106,9.16515138991168
0,107,9.205001401823298
0,108,6.0
0,109,6.022287704222634
0,110,6.082762530298219
0,111,6.164414002968976
0,112,6.244997998398398
0,113,6.303336482179011
0,114,6.708203932499369
0,115,6.728146044225788
0,116,6.782329983125268
0,117,6.855654600401044
0,118,6.928203230275509
0,119,6.9808345351805094
0,120,8.48528137423857
0,121,8.501055769281315
0,122,8.54400374531753
0,123,8.602325267042627
0,124,8.660254037844387
0,125,8.70241637751084
0,126,6.708203932499369
0,127,6.728146044225788
0,128,6.782329983125268
0,129,6.855654600401044
0,130,6.928203230275509
0,131,6.9808345351805094
0,132,7.3484692283495345
0,133,7.366678301136213
0,134,7.416198487095663
0,135,7.483314773547883
0,136,7.54983443527075
0,137,7.598161014848848
0,138,9.0
0,139,9.014873775734806
0,140,9.055385138137417
0,141,9.1104335791443
0,142,9.16515138991168
0,143,9.205001401823298
0,144,8.48528137423857
0,145,8.501055769281315
0,146,8.54400374531753
0,147,8.602325267042627
0,148,8.660254037844387
0,149,8.70241637751084
0,150,9.0
0,151,9.014873775734806
0,152,9.055385138137417
0,153,9.1104335791443
0,154,9.16515138991168
0,155,9.205001401823298
0,156,10.392304845413264
0,157,10.405188570729083
0,158,10.44030650891055
0,159,10.488088481701515
0,160,10.535653752852738
0,161,10.570338254169963
1,0,0.5176380902050415
1,1,0.0
1,2,0.5176380902050415
1,3,0.9999999999999999
1,4,1.414213562373095
1,5,1.7320508075688774
1,6,3.044330664108471
1,7,3.0
1,8,3.0443306641084704
1,9,3.1622776601683795
1,10,3.3166247903553994
1,11,3.4641016151377544
1,12,6.022287704222634
1,13,6.0
1,14,6.0222877042226335
1,15,6.082762530298219
1,16,6.164414002968976
1,17,6.244997998398398
1,18,3.044330664108471
1,19,3.0
1,20,3.0443306641084704
1,21,3.1622776601683795
1,22,3.3166247903553994
1,23,3.4641016151377544
1,24,4.274102150444128
1,25,4.242640687119285
1,26,4.274102150444128
1,27,4.358898943540674
1,28,4.47213595499958
1,29,4.58257569495584
1,30,6.728146044225788
1,31,6.708203932499369
1,32,6.728146044225788
1,33,6.782329983125268
1,34,6.855654600401044
1,35,6.928203230275509
1,36,6.022287704222634
1,37,6.0
1,38,6.0222877042226335
1,39,6.082762530298219
1,40,6.164414002968976
1,41,6.244997998398398
1,42,6.728146044225788
1,43,6.708203932499369
1,44,6.728146044225788
1,45,6.782329983125268
